Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,133.360001,135.679993,133.020004,133.429993,133.429993,2323300
2021-09-17,133.000000,134.500000,132.190002,133.339996,133.339996,1620400
2021-09-20,130.130005,132.490005,129.770004,131.910004,131.910004,1499800
2021-09-21,133.059998,134.809998,131.190002,132.580002,132.580002,932400
2021-09-22,132.889999,135.729996,132.619995,134.770004,134.770004,1029900
2021-09-23,135.479996,137.649994,134.779999,135.220001,135.220001,1284800
2021-09-24,131.880005,134.229996,128.880005,131.369995,131.369995,2630300
2021-09-27,131.610001,133.789993,130.399994,130.820007,130.820007,1098900
2021-09-28,129.940002,131.009995,127.830002,128.660004,128.660004,1650000
2021-09-29,129.649994,130.309998,126.900002,127.080002,127.080002,1044400
2021-09-30,126.760002,126.760002,119.730003,119.769997,119.769997,3843800
2021-10-01,120.970001,123.250000,117.550003,121.720001,121.720001,3609300
2021-10-04,120.550003,122.430000,118.550003,121.489998,121.489998,2191200
2021-10-05,122.260002,123.419998,117.860001,118.099998,118.099998,1922200
2021-10-06,117.000000,118.400002,114.959999,117.599998,117.599998,1357100
2021-10-07,119.980003,122.019997,119.739998,120.019997,120.019997,1514400
2021-10-08,120.000000,121.360001,115.790001,116.129997,116.129997,1609300
2021-10-11,116.129997,117.320000,113.239998,113.269997,113.269997,1381200
2021-10-12,114.980003,115.739998,112.839996,114.680000,114.680000,1523400
2021-10-13,115.669998,120.470001,115.089996,119.940002,119.940002,2527400
2021-10-14,121.379997,121.550003,118.250000,119.129997,119.129997,1217500
2021-10-15,120.650002,122.830002,119.529999,119.739998,119.739998,1348100
2021-10-18,119.690002,125.150002,119.150002,123.730003,123.730003,1984400
2021-10-19,124.070000,124.070000,120.180000,120.730003,120.730003,1270100
2021-10-20,121.279999,121.919998,118.860001,118.949997,118.949997,921900
2021-10-21,120.750000,124.349998,120.559998,123.949997,123.949997,1267500
2021-10-22,123.680000,126.620003,123.339996,125.820000,125.820000,1110300
2021-10-25,125.559998,128.470001,124.169998,127.900002,127.900002,1283300
2021-10-26,128.330002,128.860001,123.500000,124.360001,124.360001,1345900
2021-10-27,123.940002,124.309998,121.320000,122.190002,122.190002,1164800
2021-10-28,123.169998,123.699997,121.930000,123.370003,123.370003,820300
2021-10-29,122.279999,125.370003,121.879997,124.209999,124.209999,1435200
